class,model,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,,,,,,,,,,,eo_mutation_coverage,eo_test_strength,eo_line_coverage,,,,,,
BaseSettings,mpt,92.75,13.33,13.33,,,,,,,,,,,2/15,2/9,14/23,2,9,14,23,2,15
BaseSettings,nous,98.55,37.78,37.78,,,,,,,,,,,3/15,3/15,22/23,3,15,22,23,3,15
BaseSettings,ocra,85.51,20.00,22.96,,,,,,,,,,,2/15,2/15,21/23,2,15,21,23,2,15
BaseSettings,vicuna,0.00,0.00,0.00,,,,,,,,,,,2/15,2/15,22/23,2,15,22,23,2,15
BaseSettings,wizlm,21.74,2.22,3.33,,,,,,,,,,,2/15,2/15,21/23,2,15,21,23,2,15
CacheHandler,mpt,0.00,0.00,0.00,,,,,,,,,,,5/15,5/15,22/23,5,15,22,23,5,15
CacheHandler,nous,45.45,0.00,0.00,,,,,,,,,,,6/15,6/15,23/23,6,15,23,23,6,15
CacheHandler,ocra,38.38,0.00,0.00,,,,,,,,,,,6/15,6/15,23/23,6,15,23,23,6,15
CacheHandler,vicuna,0.00,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
CacheHandler,wizlm,24.24,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NPMInstaller,mpt,6.14,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NPMInstaller,nous,19.30,12.12,52.38,,,,,,,,,,,1/15,1/10,15/23,1,10,15,23,1,15
NPMInstaller,ocra,2.05,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NPMInstaller,vicuna,6.14,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NPMInstaller,wizlm,6.14,0.00,0.00,,,,,,,,,,,0/18,0/5,15/33,0,5,15,33,0,18
NodeInstaller,mpt,25.97,27.59,62.58,,,,,,,,,,,0/18,0/4,13/33,0,4,13,33,0,18
NodeInstaller,nous,40.51,45.98,100.00,,,,,,,,,,,0/18,0/3,10/33,0,3,10,33,0,18
NodeInstaller,ocra,14.18,12.07,40.10,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NodeInstaller,vicuna,0.00,0.00,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
NodeInstaller,wizlm,11.97,12.07,30.43,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Parallel,mpt,21.14,7.69,8.70,,,,,,,,,,,0/18,0/3,16/33,0,3,16,33,0,18
Parallel,nous,94.31,60.26,62.50,,,,,,,,,,,0/18,0/5,16/33,0,5,16,33,0,18
Parallel,ocra,0.00,0.00,0.00,,,,,,,,,,,0/18,0/4,13/33,0,4,13,33,0,18
Parallel,vicuna,82.93,33.33,35.41,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Parallel,wizlm,86.18,51.28,54.51,,,,,,,,,,,0,0,0,0,0,0,0,0,0
PnpmInstaller,mpt,19.21,8.94,22.92,,,,,,,,,,,0,0,0,0,0,0,0,0,0
PnpmInstaller,nous,25.99,14.63,40.00,,,,,,,,,,,0/18,0/5,16/33,0,5,16,33,0,18
PnpmInstaller,ocra,11.02,0.00,0.00,,,,,,,,,,,0/18,0/1,8/33,0,1,8,33,0,18
PnpmInstaller,vicuna,3.67,1.63,33.33,,,,,,,,,,,0,0,0,0,0,0,0,0,0
PnpmInstaller,wizlm,10.17,4.07,38.33,,,,,,,,,,,20/58,20/23,63/181,20,23,63,181,20,58
PropertiesProviderUtils,mpt,38.09,15.55,50.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0
PropertiesProviderUtils,nous,40.47,11.11,27.78,,,,,,,,,,,1/58,1/3,14/181,1,3,14,181,1,58
PropertiesProviderUtils,ocra,25.00,6.67,33.33,,,,,,,,,,,0,0,0,0,0,0,0,0,0
