class,test_class,model,run,eo_test_count,package,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,eo_line_coverage,eo_mutation_coverage,eo_test_strength,mvn_pit_command,mvn_pit_status
BaseSettings,BaseSettings_ESTest_run_01_identical_5_ocra_407884306_EOTest,ocra,run_01,4,org.bytedeco.javacv,100,27,27,23/23,4/15,4/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_ocra_4510416988_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_ocra_499099511_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_ocra_474586044_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_ocra_407884306_EOTest",True
BaseSettings,BaseSettings_ESTest_run_02_identical_5_ocra_438657757_EOTest,ocra,run_02,1,org.bytedeco.javacv,61,13,22,14/23,2/15,2/9,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_ocra_438657757_EOTest,True
BaseSettings,BaseSettings_ESTest_run_03_identical_5_ocra_404612585_EOTest,ocra,run_03,2,org.bytedeco.javacv,96,20,20,22/23,3/15,3/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_ocra_426665955_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_ocra_404612585_EOTest",True
BaseSettings,BaseSettings_ESTest_run_01_identical_5_mpt_411584633_EOTest,mpt,run_01,3,org.bytedeco.javacv,91,13,13,21/23,2/15,2/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_mpt_44818247_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_mpt_3714423583_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_mpt_411584633_EOTest",True
BaseSettings,BaseSettings_ESTest_run_02_identical_5_mpt_4110793251_EOTest,mpt,run_02,3,org.bytedeco.javacv,96,13,13,22/23,2/15,2/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_mpt_4410709745_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_mpt_436331725_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_mpt_4110793251_EOTest",True
BaseSettings,BaseSettings_ESTest_run_03_identical_5_mpt_441291563_EOTest,mpt,run_03,2,org.bytedeco.javacv,91,13,13,21/23,2/15,2/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_mpt_413368724_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_mpt_441291563_EOTest",True
BaseSettings,BaseSettings_ESTest_run_01_identical_5_nous_428578245_EOTest,nous,run_01,3,org.bytedeco.javacv,96,33,33,22/23,5/15,5/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_nous_432401257_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_nous_443345005_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_nous_428578245_EOTest",True
BaseSettings,BaseSettings_ESTest_run_02_identical_5_nous_5014130655_EOTest,nous,run_02,5,org.bytedeco.javacv,100,40,40,23/23,6/15,6/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_nous_406414742_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_nous_48479106_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_nous_423624592_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_nous_438088289_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_02_identical_5_nous_5014130655_EOTest",True
BaseSettings,BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest,nous,run_03,4,org.bytedeco.javacv,100,40,40,23/23,6/15,6/15,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_4216445086_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_43201786_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_405434643_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest",True
BaseSettings,BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest,vicuna,run_01,0,org.bytedeco.javacv,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_4216445086_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_43201786_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_405434643_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest",False
BaseSettings,BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest,vicuna,run_02,0,org.bytedeco.javacv,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_4216445086_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_43201786_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_405434643_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest",False
BaseSettings,BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest,vicuna,run_03,0,org.bytedeco.javacv,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_4216445086_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_43201786_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_405434643_EOTest,org.bytedeco.javacv.BaseSettings_ESTest_run_03_identical_5_nous_5011376068_EOTest",False
BaseSettings,BaseSettings_ESTest_run_01_identical_5_wizlm_4512327019_EOTest,wizlm,run_01,1,org.bytedeco.javacv,65,7,10,15/23,1/15,1/10,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_wizlm_4512327019_EOTest,True
BaseSettings,BaseSettings_ESTest_run_01_identical_5_wizlm_4512327019_EOTest,wizlm,run_02,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_wizlm_4512327019_EOTest,False
BaseSettings,BaseSettings_ESTest_run_01_identical_5_wizlm_4512327019_EOTest,wizlm,run_03,0,org.bytedeco.javacv,0,0,0,0,0,0,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=org.bytedeco.javacv.BaseSettings -DtargetTests=org.bytedeco.javacv.BaseSettings_ESTest_run_01_identical_5_wizlm_4512327019_EOTest,False
CacheHandler,CacheHandler_ESTest_run_01_identical_5_ocra_808026646_EOTest,ocra,run_01,1,io.github.bonigarcia.wdm.cache,45,0,0,15/33,0/18,0/5,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_ocra_808026646_EOTest,True
