class,EvoSuite,mpt,nous,ocra,vicuna,wizlm
BaseSettings,100.0,92.75,98.55,85.51,0.0,21.74
CacheHandler,51.52,0.0,45.45,38.38,0.0,24.24
NPMInstaller,46.49,6.14,19.3,2.05,6.14,6.14
NodeInstaller,53.04,25.97,40.51,14.18,0.0,11.97
Parallel,100.0,21.14,94.31,0.0,82.93,86.18
PnpmInstaller,41.53,19.21,25.99,11.02,3.67,10.17
PropertiesProviderUtils,57.14,38.09,40.47,25.0,0.0,47.62
ResolutionCache,18.92,18.92,18.92,6.31,18.92,18.92
Seekable,0.0,0.0,0.0,0.0,0.0,0.0
SeekableByteArrayOutputStream,100.0,12.5,66.67,18.75,31.25,43.75
ZeroCodeAssertionsProcessor,0.0,0.0,0.0,0.0,0.0,0.0
ZerocodeCorrelationshipLogger,91.38,36.21,83.91,1.15,0.0,52.87
